rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/fps,time/total_timesteps,time/time_elapsed,train/entropy_loss,train/loss,train/n_updates,train/clip_fraction,train/value_loss,train/std,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/approx_kl,train/clip_range
2.47821307182312,2000.0,1,803,2048,2,,,,,,,,,,,
-5.687472343444824,2000.0,2,728,4096,5,-5.678673422336578,0.3460790514945984,10,0.0791015625,1.0613044805824756,1.0011093616485596,-0.007218891393858939,0.015526831150054932,0.0001,0.0069207437,0.2
-1.7376888990402222,2000.0,3,629,6144,9,-5.679444152116775,0.5509660243988037,20,0.031103515625,1.021188448369503,1.0005900859832764,-0.0038873911631526425,-0.06887900829315186,0.0001,0.005567206,0.2
2.0130200386047363,2000.0,4,631,8192,12,-5.679309976100922,0.3958318829536438,30,0.092041015625,0.8854797713458538,1.001523733139038,-0.009463863453129306,0.0951964259147644,0.0001,0.0083520245,0.2
4.675302982330322,2000.0,5,639,10240,16,-5.682979410886764,0.31934016942977905,40,0.081982421875,0.7581076350063085,1.0020017623901367,-0.008675430080620572,0.10780125856399536,0.0001,0.007944575,0.2
5.400331497192383,2000.0,6,639,12288,19,-5.684821897745133,0.38599735498428345,50,0.044091796875,0.8434499472379684,1.002453327178955,-0.004251170184579678,-0.10186469554901123,0.0001,0.005828599,0.2
6.41731595993042,2000.0,7,617,14336,23,-5.684590137004852,0.4439826011657715,60,0.047998046875,0.9475972346961499,1.0016670227050781,-0.005966989006265066,0.0062468647956848145,0.0001,0.006384387,0.2
6.965764999389648,2000.0,8,623,16384,26,-5.681910276412964,0.23367512226104736,70,0.055908203125,0.799436555057764,1.0012702941894531,-0.005960424084332771,-0.06080341339111328,0.0001,0.0062354323,0.2
7.669220924377441,2000.0,9,626,18432,29,-5.678621536493301,0.3532923758029938,80,0.05185546875,0.7311057265847921,0.9997824430465698,-0.0058291882873163555,0.010884761810302734,0.0001,0.0062153907,0.2
7.044741153717041,2000.0,10,623,20480,32,-5.674684244394302,0.17601002752780914,90,0.070068359375,0.5817544139921665,0.9999918937683105,-0.008069890685146675,0.03912806510925293,0.0001,0.008313301,0.2
5.037841796875,2000.0,11,619,22528,36,-5.673372602462768,0.2351231426000595,100,0.04013671875,0.4270254787057638,0.9983371496200562,-0.006589992978842929,0.1106916069984436,0.0001,0.0057274625,0.2
5.787614822387695,2000.0,12,621,24576,39,-5.6681216835975645,0.26754525303840637,110,0.008349609375,0.5352395102381706,0.9980647563934326,-0.0013875529082724824,0.44593971967697144,0.0001,0.0031974076,0.2
5.321938514709473,2000.0,13,625,26624,42,-5.667873424291611,0.10060667246580124,120,0.079443359375,0.6052200850099325,0.9979844093322754,-0.006987135569215752,0.272294819355011,0.0001,0.0070531056,0.2
5.724015235900879,2000.0,14,617,28672,46,-5.666376674175263,0.40533673763275146,130,0.042626953125,0.5210565369576216,0.9973129034042358,-0.005020275196875446,0.3752332925796509,0.0001,0.0055050002,0.2
5.212564945220947,2000.0,15,617,30720,49,-5.66451506614685,0.27679693698883057,140,0.067431640625,0.7055547527968884,0.9966292977333069,-0.005460048979148269,0.16261279582977295,0.0001,0.007677301,0.2
5.586685657501221,2000.0,16,619,32768,52,-5.6644720256328585,0.46703416109085083,150,0.0607421875,0.8527332562953234,0.9980368614196777,-0.0051247678406070914,0.11262798309326172,0.0001,0.007045176,0.2
5.444782257080078,2000.0,17,621,34816,55,-5.667436742782593,0.29226547479629517,160,0.041748046875,0.669669621065259,0.997439980506897,-0.0038280397333437578,0.006065309047698975,0.0001,0.004772242,0.2
4.98063850402832,2000.0,18,612,36864,60,-5.666279262304306,0.16085553169250488,170,0.046044921875,0.512582290172577,0.9979816675186157,-0.005690679154940881,0.1610214114189148,0.0001,0.006278418,0.2
5.289056777954102,2000.0,19,615,38912,63,-5.670511162281036,0.28339487314224243,180,0.046923828125,0.5625102959573269,0.9991101026535034,-0.0064681752177421,0.20924890041351318,0.0001,0.005298714,0.2
5.612403392791748,2000.0,20,617,40960,66,-5.671063470840454,0.18625763058662415,190,0.075732421875,0.525907265394926,0.998515784740448,-0.007880445869523101,0.14262521266937256,0.0001,0.006918285,0.2
4.6293535232543945,2000.0,21,617,43008,69,-5.665650951862335,0.16077497601509094,200,0.0302734375,0.47923534642904997,0.9961768388748169,-0.004448171230615116,0.142653226852417,0.0001,0.005296327,0.2
5.036159992218018,2000.0,22,612,45056,73,-5.657075357437134,0.04670289158821106,210,0.078759765625,0.475886576063931,0.9944394826889038,-0.007474487362196669,0.18503743410110474,0.0001,0.007263779,0.2
5.474422454833984,2000.0,23,615,47104,76,-5.652348929643631,0.18752650916576385,220,0.03896484375,0.4903494447469711,0.9939287900924683,-0.006055566572467796,0.48927706480026245,0.0001,0.0053868815,0.2
5.571059703826904,2000.0,24,617,49152,79,-5.650537657737732,0.1752873957157135,230,0.048876953125,0.3517876977100968,0.9935837984085083,-0.005821675472543575,0.5052473545074463,0.0001,0.0050512096,0.2
5.3259406089782715,2000.0,25,615,51200,83,-5.647904914617539,0.2939443290233612,240,0.036328125,0.48773700520396235,0.9922133088111877,-0.0033330340491374956,0.2176416516304016,0.0001,0.0040174746,0.2
5.088796138763428,2000.0,26,611,53248,87,-5.646708071231842,0.1752786636352539,250,0.058154296875,0.5145656472072005,0.9936924576759338,-0.005853118206141516,0.194752037525177,0.0001,0.00591488,0.2
